countryisocode,year,xlong,ylat,lny,lns,lnngd,ltrade
"TTO",1953,-61.49,10.64,9.501141,-1.3186,-2.742118,18.80592
"TUR",1953,32.85,39.93,8.67446,-2.591398,-2.753113,20.47951
"UGA",1953,32.58,.32,7.303801,-2.468795,-2.57141,18.40072
"URY",1953,-56.17,-34.92,9.307879,-1.435322,-2.79633,19.35694
"USA",1953,-76.95,38.89,10.50348,-1.833274,-2.799217,23.37081
"VEN",1953,-66.9,10.5,9.906514,-.874872,-2.461956,21.31523
"ZAF",1953,28.22,-25.73,9.381871,-1.524362,-2.657413,21.68627
"ZAR",1953,15.47,-4.39,7.498029,-1.066073,-2.667981,17.82341
"ARG",1954,-58.41,-34.67,9.418035,-1.672598,-2.748964,21.11116
"AUS",1954,149.04,-35.35,10.40771,-1.104745,-2.655793,21.36525
"AUT",1954,16.32,48.2,9.654998,-1.740076,-3.054142,20.79107
"BEL",1954,4.37,50.84,9.978827,-1.407917,-3.011346,21.90951
"BOL",1954,-68.15,-16.5,8.809133,-2.220478,-2.714315,19.64227
"BRA",1954,-47.9,-15.79,8.668769,-1.376794,-2.579269,21.324
"CAN",1954,-75.65,45.37,10.37391,-1.815341,-2.609786,22.38111
"CHE",1954,7.45,46.95,10.41322,-1.609139,-2.763894,21.6164
"CHL",1954,-70.65,-33.48,9.138957,-1.308326,-2.79756,19.93384
"COL",1954,-74.08,4.63,9.152163,-1.476272,-2.628697,20.57384
"CRI",1954,-84.08,9.93,9.463404,-2.027223,-2.576226,18.66697
"DNK",1954,12.55,55.72,9.949099,-1.878132,-2.954475,20.73302
"DOM",1954,-69.91,18.5,8.670606,-1.936396,-2.639592,19.73479
"ECU",1954,-78.52,-.23,8.694745,-.9793112,-2.653537,19.62041
"EGY",1954,31.25,30.08,7.812805,-2.435702,-2.725805,21.20556
"ESP",1954,-3.69,40.44,9.412472,-1.603859,-2.84296,20.07665
"ETH",1954,38,9.03,6.604387,-2.295469,-2.666288,18.75204
"FIN",1954,24.98,60.2,9.583776,-1.258972,-2.956826,20.34666
"FRA",1954,2.43,48.88,9.794361,-1.72121,-2.974335,22.18034
"GBR",1954,-.18,51.49,9.967982,-2.109986,-2.92564,23.0069
"GRC",1954,23.65,38.12,9.184391,-2.162098,-2.81746,19.71467
"GTM",1954,-90.52,14.62,8.885822,-2.01287,-2.584702,19.88274
"HND",1954,-87.2,14.1,8.667809,-1.772504,-2.570696,19.61789
"IND",1954,77.22,28.57,7.382745,-2.043136,-2.755387,21.84905
"IRL",1954,-6.26,53.34,9.654446,-1.66121,-3.283004,19.94324
"ISR",1954,34.86,31.92,9.602284,-1.233211,-2.686492,19.30332
"ITA",1954,12.52,41.88,9.500854,-1.365692,-2.968725,21.84205
"JPN",1954,139.81,35.68,8.976098,-1.869396,-2.667756,21.33262
"KEN",1954,36.83,-1.17,7.813893,-1.65223,-2.588068,19.63284
"LKA",1954,80.09,7.02,7.43278,-1.391494,-2.53762,20.42169
"MAR",1954,-6.75,33.92,7.887958,-.8600997,-2.596701,20.39212
"MEX",1954,-99.13,19.43,9.621069,-1.584272,-2.625351,21.36573
"MUS",1954,59.57,-20.1,8.948049,-1.320109,-2.577695,18.36474
"NGA",1954,3.3,6.45,8.213378,-2.436806,-2.597556,20.90119
"NIC",1954,-86.27,12.15,9.09375,-1.610091,-2.601131,18.36911
"NLD",1954,4.89,52.37,10.2646,-1.591553,-2.983461,21.96544
"NOR",1954,10.72,59.93,10.16251,-1.093267,-2.970305,21.04332
"NZL",1954,175.14,-41.21,10.37318,-1.543362,-2.660013,20.21589
"PAK",1954,73.06,33.72,7.542345,-2.526374,-2.806696,20.4487
"PAN",1954,-79.4,8.95,8.657263,-1.935007,-2.687968,19.40882
"PER",1954,-76.82,-12.07,9.033542,-.9276778,-2.637533,20.51272
"PHL",1954,121.17,14.55,8.058882,-1.734486,-2.692705,21.24403
"PRT",1954,-9.13,38.73,9.045856,-1.760666,-3.004049,20.17426
"PRY",1954,-57.67,-25.22,8.339713,-2.308071,-2.675299,18.43389
"SLV",1954,-89.2,13.7,9.17221,-2.315453,-2.654076,19.18727
"SWE",1954,18.08,59.24,10.17338,-1.575613,-2.89153,21.36181
"THA",1954,100.55,13.75,7.405792,-1.826763,-2.583629,20.57165
"TTO",1954,-61.49,10.64,9.54465,-1.335825,-2.668034,18.83938
"TUR",1954,32.85,39.93,8.552643,-2.399855,-2.717442,20.20706
"UGA",1954,32.58,.32,7.245549,-2.456971,-2.61087,18.51019
"URY",1954,-56.17,-34.92,9.402629,-1.255405,-2.780945,19.53578
"USA",1954,-76.95,38.89,10.46884,-1.837172,-2.765819,23.37442
"VEN",1954,-66.9,10.5,9.963768,-.8293054,-2.459512,21.3991
"ZAF",1954,28.22,-25.73,9.428224,-1.496009,-2.661814,21.78269
"ZAR",1954,15.47,-4.39,7.512313,-1.125241,-2.662663,17.86939
"ARG",1955,-58.41,-34.67,9.476686,-1.627642,-2.755677,21.17239
"AUS",1955,149.04,-35.35,10.42735,-1.098362,-2.65175,21.3674
"AUT",1955,16.32,48.2,9.757734,-1.507313,-3.058174,20.94968
"BEL",1955,4.37,50.84,10.0168,-1.454562,-2.991418,22.03257
"BOL",1955,-68.15,-16.5,8.861887,-1.796239,-2.721359,19.74663
"BRA",1955,-47.9,-15.79,8.704414,-1.432704,-2.580739,21.1928
"CAN",1955,-75.65,45.37,10.42498,-1.707762,-2.654744,22.48982
"CHE",1955,7.45,46.95,10.46906,-1.508222,-2.765667,21.71691
